,element_pair,count,mean,median,std,min,max,range,Q1,Q3,IQR
34,Br-Hf,3,1.7657800704438713,1.7592052825955982,0.15737594204975872,1.61179456060003,1.9263403681359859,0.31454580753595596,1.6854999215978141,1.842772825365792,0.15727290376797787
35,Br-Hg,2,3.542218829870604,3.542218829870604,0.34407426573569355,3.298921583337113,3.785516076404095,0.4865944930669821,3.420570206603858,3.6638674531373496,0.2432972465334915
36,Br-I,3,1.4666579150867542,1.589703087995478,0.23251478251835334,1.1984760966647547,1.61179456060003,0.41331846393527516,1.3940895923301164,1.600748824297754,0.20665923196763747
37,Br-Mg,2,7.108908552261714,7.108908552261714,0.858943062444289,6.501544088154217,7.716273016369211,1.2147289282149938,6.805226320207966,7.412590784315462,0.607364464107496
38,Br-Mn,1,3.7969124958049347,3.7969124958049347,,3.7969124958049347,3.7969124958049347,0.0,3.7969124958049347,3.7969124958049347,0.0
39,Br-Ni,1,2.611186160364978,2.611186160364978,,2.611186160364978,2.611186160364978,0.0,2.611186160364978,2.611186160364978,0.0
40,Br-Os,1,2.463474323702265,2.463474323702265,,2.463474323702265,2.463474323702265,0.0,2.463474323702265,2.463474323702265,0.0
41,Br-Pb,2,4.321750666257438,4.321750666257438,0.1617277651684544,4.207391866800679,4.436109465714198,0.22871759891351928,4.2645712665290585,4.378930065985818,0.11435879945675964
42,Br-Ru,1,2.403057819504702,2.403057819504702,,2.403057819504702,2.403057819504702,0.0,2.403057819504702,2.403057819504702,0.0
43,Br-S,6,2.508790107028953,2.512535771207733,0.12040814218595011,2.3354056823327856,2.666300606314723,0.3308949239819374,2.442256924391131,2.5834830695457933,0.14122614515466214
44,Br-Sb,6,2.347332051166378,2.3361018362279946,0.22017564943617032,2.069904978193807,2.6066609010756077,0.5367559228818006,2.185917331697642,2.5335506528710026,0.34763332117336043
45,Br-Se,6,2.3120571867572104,2.31219288139343,0.20974588768082644,2.010009582277624,2.571633567149625,0.5616239848720008,2.19112724862394,2.4647048483196405,0.2735775996957006
46,Br-Sn,2,4.135603863689543,4.135603863689543,0.1874415035972684,4.0030627054201116,4.268145021958974,0.2650823165388623,4.069333284554827,4.201874442824258,0.13254115826943114
47,Br-Sr,2,7.8951454664020755,7.8951454664020755,0.5848560032683024,7.481589820473397,8.308701112330754,0.8271112918573564,7.688367643437736,8.101923289366415,0.4135556459286782
48,Br-Te,6,1.972540531684597,2.0164388093234447,0.26402480611431306,1.6319784046305772,2.252901762420853,0.620923357790276,1.7585482208940042,2.1877852370746647,0.42923701618066046
49,Br-Ti,3,1.3640479419631806,1.4211583470202078,0.14567003525183558,1.1984760966647547,1.472509382204579,0.2740332855398242,1.3098172218424813,1.4468338646123935,0.1370166427699122
50,Br-V,1,3.34975515620883,3.34975515620883,,3.34975515620883,3.34975515620883,0.0,3.34975515620883,3.34975515620883,0.0
51,Br-Y,1,1.5740919111649525,1.5740919111649525,,1.5740919111649525,1.5740919111649525,0.0,1.5740919111649525,1.5740919111649525,0.0
52,Br-Zn,2,5.3029879382810154,5.3029879382810154,0.793403819647012,4.741966717189304,5.864009159372726,1.1220424421834219,5.022477327735159,5.583498548826871,0.5610212210917114
53,Br-Zr,3,1.7348160936688768,1.7369705379957243,0.14404786757915058,1.589703087995478,1.8777746550154282,0.28807156701995007,1.6633368129956012,1.8073725965055762,0.14403578350997503
54,C-F,1,7.1977921150003255,7.1977921150003255,,7.1977921150003255,7.1977921150003255,0.0,7.1977921150003255,7.1977921150003255,0.0
55,C-H,1,6.415813274418973,6.415813274418973,,6.415813274418973,6.415813274418973,0.0,6.415813274418973,6.415813274418973,0.0
56,Ca-Cl,2,9.356475280873585,9.356475280873585,0.7446372469043028,8.82993723406347,9.883013327683699,1.0530760936202288,9.093206257468527,9.619744304278642,0.5265380468101153
57,Ca-I,2,6.4160843586869785,6.4160843586869785,0.7121879184459283,5.912491452074731,6.919677265299226,1.0071858132244955,6.164287905380855,6.667880811993102,0.5035929066122478
58,Cd-Cl,2,6.269715999049973,6.269715999049973,0.6414156992809062,5.816166608528933,6.723265389571013,0.9070987810420803,6.042941303789453,6.496490694310493,0.45354939052104015
59,Cd-I,2,3.6841444431195907,3.6841444431195907,0.49899842865374705,3.3312992704170945,4.036989615822087,0.7056903454049923,3.5077218567683426,3.8605670294708387,0.35284517270249616
60,Cl-Cu,1,3.447681292109751,3.447681292109751,,3.447681292109751,3.447681292109751,0.0,3.447681292109751,3.447681292109751,0.0
61,Cl-Fe,1,0.921467357645217,0.921467357645217,,0.921467357645217,0.921467357645217,0.0,0.921467357645217,0.921467357645217,0.0
