formula,natoms,energy,number,has_inversion_symmetry,lgnum,layergroup,bravais_type,thickness,evac,dipz,minhessianeig,dyn_stab,alphax_el,alphay_el,alphaz_el,alphax_lat,alphax,alphay_lat,alphay,alphaz_lat,alphaz,emass_cbm,emass_vbm,is_magnetic,spin_axis,dE_zx,dE_zy,ehull,hform,is_ferroelectric,P_spontaneous_norm,J,lam,A,spin,N_nn,topology,plasmafrequency_x,plasmafrequency_y,halfmetal_gap,halfmetal_gap_dir,gap_gw,vbm_gw,cbm_gw,efermi_gw,E_B,num_elements,element_1,element_2,element_3
GeI2,3,-8.553219372857304,164,1,72,0,0,3.489551787962494,3.247525474740736,-1.4780830228643625e-14,-1.281387503361047e-14,1,3.6138058458073856,3.6138058458073856,0.42695627895332233,21.03093052937587,24.644736375183253,20.978479547047424,24.59228539285481,0.028308015447177915,0.45526429440050026,0.25121379752660006,1.4346563547413822,0,2,0.0,0.0,0.0026261131971487086,-0.3601723067513041,0,,,,,,,0,0.0,0.0,,,3.3475638538983996,-6.845340602884632,-3.497776748986233,-4.476005661755169,0.9163205228617077,2,Ge,I,
CoBr2,3,-12.412111320302882,164,1,72,0,0,2.8685175518142394,3.1395624098650594,3.3992781609628663e-10,-5.667229932639141e-16,1,3.5685831222079405,3.568583122207944,0.3774462489744511,,,,,,,3.416565461615873,13.343664107831858,1,1,0.5605030808624178,0.5650394691087968,0.022610865176922196,-0.33806960049167206,0,,1.0836779488904034,0.06076605760401637,-0.6325475397469896,1.5,6.0,1,0.0,0.0,,,1.4009009239092507,-6.2524145205301735,-4.851513596620923,-5.551964058575548,2.2105933949291985,2,Co,Br,
TiO2,3,-25.77392530097837,164,1,72,0,0,1.9356980739537173,3.155815456304561,-2.958740144169959e-14,-1.9631585312997095,0,1.987188499026842,1.9871884990268422,0.21394630921173324,,,,,,,1.3389365417121348,2.065194450096353,0,2,0.0,0.0,0.13546633337948025,-2.945216712289033,0,,,,,,,0,0.0,0.0,,,5.751794722541195,-9.480999303864868,-3.7292045813236725,-4.8795635258186705,1.5361348145737383,2,Ti,O,
TiO2,3,-24.418173786257547,187,0,78,1,0,2.257984610526922,3.5087597284309675,3.58963028216015e-11,-10.532196596587818,0,1.9864652557580826,1.986465255758079,0.23762337108481088,,,,,,,1.459045685256337,3.2109854174912695,0,2,0.0,0.0,0.5873835049530877,-2.4932995407154253,0,,,,,,,0,0.0,0.0,,,3.915128082414996,-9.695073653036172,-5.779945570621176,-8.390030958892831,1.8070901519847629,2,Ti,O,
PdO2,3,-15.266821854223924,164,1,72,0,0,1.9580402376643384,3.0380311983403505,1.1646888818768453e-09,-7.806048812473922e-15,1,3.7671662720718637,3.767166272071868,0.23962769289371322,1.4679458632967353,5.235112135368599,1.4655721704448357,5.232738442516704,0.005769707399187627,0.24539740029290086,1.599706113944541,inf,0,2,0.0,0.0,0.0,-0.3994217711348084,0,,,,,,,0,0.0,0.0,,,2.9030065367266014,-7.988118129997593,-5.085111593270992,-6.536614861634293,1.2778871424165579,2,Pd,O,
HgBr2,3,-5.533129420962965,164,1,72,0,0,3.178815152261599,2.892670359281329,1.9489979233416778e-11,-2.4152836742550192e-14,0,1.9935457878002505,1.9935457878002514,0.36084051070426304,,,,,,,0.46572083398640673,0.7898096910451201,0,2,0.0,0.0,0.03814702165014753,-0.49285874025320214,0,,,,,,,0,0.0,0.0,,,3.785516076404095,-8.275993245266456,-4.490477168862362,-6.383235207062473,1.2163250269100345,2,Hg,Br,
HgBr2,3,-5.232952051316959,187,0,78,1,0,3.542150930565363,3.103653588008031,1.673887239324087e-08,-1.129460860529897,0,2.301589668550218,2.301589668550217,0.39613020739389815,,,,,,,0.3813598714540348,0.8924536805910719,0,2,0.0,0.0,0.13820614486548286,-0.39279961703786687,0,,,,,,,0,0.0,0.0,,,3.298921583337113,-8.287874744864771,-4.988953161527658,-6.63841395319284,1.0335456145647883,2,Hg,Br,
HfS2,3,-19.788167783112925,187,0,78,1,0,3.1384847674585004,4.012956031077554,-1.326134977821527e-12,-0.28624574166080524,0,3.155187176311958,3.1551871763119563,0.3593453544954036,,,,,,,0.9467406210577873,1.4537512592670285,0,2,0.0,0.0,0.2170574673631028,-1.3753108487003647,0,,,,,,,0,0.0,0.0,,,2.8264915231850436,-8.16645471902493,-5.339963195839887,-6.482128514646126,1.2899117936054596,2,Hf,S,
HfS2,3,-20.439340185202234,164,1,72,0,0,2.8962086039820507,3.7611580563948848,-9.418815562316587e-14,1.6195797229879318e-15,1,3.6043424736889964,3.6043424736889964,0.3353802615128241,14.508656357940204,18.1129988316292,14.242683911127658,17.847026384816655,0.02354824089809354,0.3589285024109176,0.7281985527325594,0.3143255597622026,0,2,0.0,0.0,0.0,-1.5923683160634674,0,,,,,,,0,0.0,0.0,,,2.9379879773506685,-7.504821899539926,-4.566833922189257,-6.035827910864592,0.7307218203182446,2,Hf,S,
PbS2,3,-11.927718624216233,164,1,72,0,0,3.083980716075267,3.5252455386261383,-5.851272364542118e-15,-1.1416662411277604e-13,1,4.619240386203729,4.619240386203725,0.3786772649058869,7.858074628235037,12.477315014438766,7.864527012689455,12.483767398893178,0.014322928409798734,0.3930001933156856,0.5206310545181171,1.1550762058667694,0,2,0.0,0.0,0.37437751575919326,-0.004322527148670948,0,,,,,,,0,0.0,0.0,,,1.7627619980359452,-7.606438971861113,-5.843676973825168,-6.725057972843141,0.8166648130542039,2,Pb,S,
